timestamp,pid,cpu_percent,mem_percent,mem_mb,uptime_sec
2026-01-31 15:34:43,2470788,10.4,0.0,6,4,      1
2026-01-31 15:34:46,2470788,10.5,0.0,6,8,      4
2026-01-31 15:34:49,2470788,10.3,0.0,6,9,      6
2026-01-31 15:34:51,2470788,10.6,0.0,7,0,      9
2026-01-31 15:34:54,2470788,8.9,0.0,7,0,     11
2026-01-31 15:34:56,2470788,7.5,0.0,7,0,     13
2026-01-31 15:34:58,2470788,6.4,0.0,7,0,     16
2026-01-31 15:35:00,2470788,5.6,0.0,7,0,     18
2026-01-31 15:35:02,2470788,5.0,0.0,7,0,     20
2026-01-31 15:35:05,2470788,4.5,0.0,7,0,     22
2026-01-31 15:35:07,2470788,4.1,0.0,7,0,     24
2026-01-31 15:35:09,2470788,4.5,0.0,7,1,     27
2026-01-31 15:35:12,2470788,4.9,0.0,7,2,     30
2026-01-31 15:35:14,2470788,5.3,0.0,7,3,     32
2026-01-31 15:35:17,2470788,5.7,0.0,7,3,     35
2026-01-31 15:35:19,2470788,5.3,0.0,7,3,     37
2026-01-31 15:35:22,2470788,5.0,0.0,7,3,     39
2026-01-31 15:35:24,2470788,4.8,0.0,7,3,     41
2026-01-31 15:35:26,2470788,4.6,0.0,7,3,     43
2026-01-31 15:35:28,2470788,4.3,0.0,7,3,     45
2026-01-31 15:35:30,2470788,4.1,0.0,7,3,     47
2026-01-31 15:35:32,2470788,4.0,0.0,7,3,     50
2026-01-31 15:35:34,2470788,4.1,0.0,7,4,     53
2026-01-31 15:35:38,2470788,4.3,0.0,7,5,     56
2026-01-31 15:35:42,2470788,4.5,0.0,7,5,     59
2026-01-31 15:35:44,2470788,4.6,0.0,7,6,     62
2026-01-31 15:35:46,2470788,4.7,0.0,7,6,     64
2026-01-31 15:35:49,2470788,4.5,0.0,7,6,     66
2026-01-31 15:35:51,2470788,4.4,0.0,7,6,     68
2026-01-31 15:35:53,2470788,4.3,0.0,7,6,     70
2026-01-31 15:35:55,2470788,4.1,0.0,7,6,     72
2026-01-31 15:35:57,2470788,4.0,0.0,7,6,     74
2026-01-31 15:35:59,2470788,3.9,0.0,7,6,     77
2026-01-31 15:36:01,2470788,3.8,0.0,7,7,     79
2026-01-31 15:36:04,2470788,4.1,0.0,7,8,     81
2026-01-31 15:36:06,2470788,4.3,0.0,7,8,     84
2026-01-31 15:36:09,2470788,4.5,0.0,7,9,     86
2026-01-31 15:36:11,2470788,4.5,0.0,7,9,     88
2026-01-31 15:36:13,2470788,4.4,0.0,7,9,     91
2026-01-31 15:36:15,2470788,4.3,0.0,7,9,     93
2026-01-31 15:36:18,2470788,4.2,0.0,7,9,     95
2026-01-31 15:36:20,2470788,4.1,0.0,7,9,     97
2026-01-31 15:36:22,2470788,4.0,0.0,7,9,     99
2026-01-31 15:36:24,2470788,3.9,0.0,7,9,    101
2026-01-31 15:36:26,2470788,4.0,0.0,8,0,    104
2026-01-31 15:36:29,2470788,4.1,0.0,8,1,    107
2026-01-31 15:36:31,2470788,4.3,0.0,8,2,    109
2026-01-31 15:36:34,2470788,4.4,0.0,8,2,    112
2026-01-31 15:36:36,2470788,4.4,0.0,8,2,    114
2026-01-31 15:36:38,2470788,4.3,0.0,8,2,    116
2026-01-31 15:36:40,2470788,4.2,0.0,8,2,    118
2026-01-31 15:36:43,2470788,4.1,0.0,8,2,    120
2026-01-31 15:36:45,2470788,4.1,0.0,8,2,    122
2026-01-31 15:36:47,2470788,4.0,0.0,8,2,    124
2026-01-31 15:36:49,2470788,3.9,0.0,8,2,    126
2026-01-31 15:36:51,2470788,4.0,0.0,8,4,    129
2026-01-31 15:36:53,2470788,4.1,0.0,8,5,    131
2026-01-31 15:36:55,2470788,4.0,0.0,8,5,    133
2026-01-31 15:36:57,2470788,4.0,0.0,8,5,    135
2026-01-31 15:36:59,2470788,3.9,0.0,8,5,    137
