timestamp,pid,cpu_percent,mem_percent,mem_mb,uptime_sec
2026-01-29 18:45:13,4106402,5.3,0.0,6,8,     11
2026-01-29 18:45:15,4106402,4.5,0.0,6,9,     13
2026-01-29 18:45:18,4106402,6.3,0.0,7,1,     15
2026-01-29 18:45:20,4106402,6.9,0.0,7,1,     18
2026-01-29 18:45:22,4106402,6.2,0.0,7,1,     20
2026-01-29 18:45:24,4106402,5.6,0.0,7,1,     22
2026-01-29 18:45:26,4106402,5.1,0.0,7,1,     24
2026-01-29 18:45:28,4106402,4.7,0.0,7,1,     26
2026-01-29 18:45:30,4106402,5.0,0.0,7,2,     28
2026-01-29 18:45:33,4106402,5.9,0.0,7,4,     30
2026-01-29 18:45:35,4106402,5.7,0.0,7,4,     32
2026-01-29 18:45:37,4106402,5.4,0.0,7,4,     35
2026-01-29 18:45:39,4106402,5.1,0.0,7,4,     37
2026-01-29 18:45:41,4106402,4.8,0.0,7,4,     39
2026-01-29 18:45:43,4106402,4.6,0.0,7,4,     41
2026-01-29 18:45:45,4106402,5.2,0.0,7,6,     43
2026-01-29 18:45:47,4106402,5.5,0.0,7,6,     45
2026-01-29 18:45:49,4106402,5.3,0.0,7,6,     47
2026-01-29 18:45:52,4106402,5.1,0.0,7,6,     49
2026-01-29 18:45:54,4106402,4.9,0.0,7,6,     51
2026-01-29 18:45:56,4106402,4.7,0.0,7,6,     53
2026-01-29 18:45:58,4106402,4.9,0.0,7,8,     56
2026-01-29 18:46:00,4106402,5.4,0.0,8,0,     58
2026-01-29 18:46:02,4106402,5.2,0.0,7,9,     60
2026-01-29 18:46:04,4106402,5.1,0.0,7,9,     62
2026-01-29 18:46:06,4106402,4.9,0.0,7,9,     64
2026-01-29 18:46:09,4106402,4.7,0.0,7,9,     66
2026-01-29 18:46:11,4106402,4.6,0.0,8,0,     68
2026-01-29 18:46:13,4106402,5.0,0.0,8,2,     71
2026-01-29 18:46:15,4106402,5.2,0.0,8,2,     73
2026-01-29 18:46:17,4106402,5.0,0.0,8,2,     75
2026-01-29 18:46:19,4106402,4.9,0.0,8,2,     77
2026-01-29 18:46:21,4106402,4.8,0.0,8,2,     79
2026-01-29 18:46:23,4106402,4.7,0.0,8,2,     81
2026-01-29 18:46:25,4106402,4.8,0.0,8,3,     83
2026-01-29 18:46:28,4106402,5.1,0.0,8,4,     86
2026-01-29 18:46:30,4106402,5.0,0.0,8,4,     88
2026-01-29 18:46:32,4106402,4.9,0.0,8,4,     90
2026-01-29 18:46:34,4106402,4.8,0.0,8,4,     92
2026-01-29 18:46:36,4106402,4.7,0.0,8,4,     94
2026-01-29 18:46:38,4106402,4.7,0.0,8,5,     96
2026-01-29 18:46:41,4106402,5.0,0.0,8,7,     98
2026-01-29 18:46:43,4106402,5.0,0.0,8,7,    100
2026-01-29 18:46:45,4106402,4.9,0.0,8,7,    103
2026-01-29 18:46:47,4106402,4.8,0.0,8,7,    105
2026-01-29 18:46:49,4106402,4.7,0.0,8,7,    107
2026-01-29 18:46:51,4106402,4.6,0.0,8,7,    109
2026-01-29 18:46:53,4106402,4.8,0.0,8,8,    111
2026-01-29 18:46:55,4106402,5.0,0.0,9,0,    113
2026-01-29 18:46:58,4106402,5.1,0.0,9,0,    115
2026-01-29 18:47:00,4106402,5.0,0.0,9,0,    117
2026-01-29 18:47:02,4106402,4.9,0.0,9,0,    119
2026-01-29 18:47:04,4106402,4.8,0.0,9,0,    122
2026-01-29 18:47:06,4106402,4.7,0.0,9,0,    124
2026-01-29 18:47:08,4106402,4.9,0.0,9,1,    126
2026-01-29 18:47:10,4106402,5.1,0.0,9,3,    128
2026-01-29 18:47:12,4106402,5.0,0.0,9,2,    130
2026-01-29 18:47:15,4106402,4.9,0.0,9,2,    132
2026-01-29 18:47:17,4106402,4.9,0.0,9,2,    134
